,"Item","Description","Price","UPC / GTIN","Gross Wt (lbs)","Pack/Unit","Case Cube","Unique Instructions"
,"3"":Retail Pack:2364-6","Single Serve Cheesecake 8 Piece Festive Pack (6/cs)",0.00,"10603812023648","16","6 / 40 oz",".88",
,"3"":Retail Pack:2365-1","Single Serve Cheesecake 4 Piece Variety Pack",0.00,"603812023658","1.5","1 / 24 oz",,
,"3"":Retail Pack:2365-12","Single Serve Cheesecake 4 Piece Variety Pack (12/cs)",0.00,"20603812023652","19","12 / 24 oz",".97",
,"3"":Retail Pack:2366-1","Single Serve Cheesecake 6 Piece Variety Pack",0.00,"603812023665","1.5","1 / 24 oz",,
,"3"":Retail Pack:2367-1","Single Serve Cheesecake 8 Piece Variety Pack Alison's Pantry",0.00,"603812023672","2.5","1 / 40 oz",,
,"3"":Retail Pack:2367-6","Single Serve Cheesecake 8 Piece Variety Pack Alison's Pantry (6/cs)",0.00,"10603812023679","16","6 / 40 oz","1.30",
,"3"":Retail Pack:2369-1","Single Serve Cheesecake 8 Piece COSTCO Pack (NY/PU/CT/COW)",0.00,"603812023696","2.5","1 / 40 oz",,
,"3"":Retail Pack:2369-6","Single Serve Cheesecake 8 Piece (COSTCO Item # 554596) (6/cs)",0.00,"10603812023693","16","6 / 40 oz",".89",
,"3"":Retail Pack:2370-1","Single Serve Cheesecake 8 Piece COSTCO Pack (NY/VB/CT)",0.00,"603812023702","2.5","1 / 40 oz",,
,"3"":Retail Pack:2370-6","Single Serve Cheesecake 8 Piece (COSTCO Item # _________) (6/cs)",0.00,"10603812023709","15","6 / 40 oz",".89",
,"3"":Retail Pack:2371-1","Single Serve Cheesecake 4 Piece FIGIS (SB/NY/VB/LM)",0.00,"603812023719","2.5","1 / 40 oz",,
,"3"":Retail Pack:2372-1","Single Serve Cheesecake 6 Piece FIGIS (NY/VB/LM/SB/CT/__)",0.00,"603812023726","2.5","1 / 40 oz",,
,"3"":Retail Pack:2373-1","Single Serve Cheesecake 8 Piece FIGIS (VB/SB/CT/CN/LM/NY/__/__)",0.00,"603812023733","2.5","1 / 40 oz",,
,"3"":Retail Pack:2374-1","Single Serve Cheesecake 8 Piece COSTCO Printed Pack (NY/VB/CT/KL)",0.00,"603812023740","2.5","8 / 4 oz",,
,"3"":Retail Pack:2374-6","Single Serve Cheesecake 8 Piece (COSTCO Item # 554596) (6/cs)",0.00,"10603812023747","15","6 / 40 oz",".88",
,"3"":Retail Pack:2375-1","Single Serve Cheesecake 8 Piece COSTCO Printed Pack (NY/VB)",0.00,"603812023757","2.5","1 / 40 oz",,
,"3"":Retail Pack:2375-6","Single Serve Cheesecake 8 Piece NY & VB (COSTCO Item # 571095) (6/cs)",0.00,"10603812023754","15","6 / 40 oz",".89",
,"3"":Retail Pack:2376-1","Single Serve Cheesecake 8 Piece Variety Alison's Pantry (NY,CT,WCR,KL)",0.00,"603812023764","2.5","1 / 40 oz",,
,"3"":Retail Pack:2376-6","Single Serve Cheesecake 8 Piece Variety Alison's Pantry (NY,CT,WCR,KL) (6/cs)",0.00,"10603812023761","16","6 / 40 oz","1.30",
,"3"":Retail Pack:2377-1","Single Serve Cheesecake 8 Piece (KL,LM,SB,CN) COSTCO Item# 7360",0.00,"0603812023771","2.5","1 / 40 oz",,
,"3"":Retail Pack:2377-6","Single Serve Cheesecake 8 Piece (KL,LM,SB,CN) COSTCO Item# 7360",0.00,"10603812023778","16","6 / 40 oz","1.30",
,"3"":Retail Pack:2378-1","Single Serve Cheesecake 4 Piece (NY, CT, VB, SB)",0.00,"603812023788","1","1 / 16 oz",,
,"3"":Retail Pack:2378-10","Single Serve Cheesecake 4 Piece (NY, CT, VB, SB)",0.00,"10603812023785","11","10 / 16 oz","1.30",
,"3"":Retail Pack:2379-1","Single Serve Cheesecake 8 Piece Pack (NY/TB/CT/COW) COSTCO #:___",0.00,"603812023795","2.5","8 / 4 oz",,
,"3"":Retail Pack:2379-6","Single Serve Cheesecake 8 Piece (COSTCO Item # _____) (6/cs)",0.00,"10603812023792","15","6 / 40 oz",".88",
,"3"":Sample Pack",,0.00,,,,,
,"3"":Sample Pack:2101-72","New York ""Signature"" Cheesecake - 72 piece sample pack",31.50,"20603812021016","4.875","72 / 1 oz",".16",
,"3"":Sample Pack:2102-72","Gluten Free New York Cheesecake - 72 piece sample pack",26.10,"20603812021023","4.875","72 / 1 oz",".16",
,"3"":Sample Pack:2103-72","White Chocolate Cheesecake - 72 piece sample pack",26.10,"20603812021030","4.875","72 / 1 oz",".16",
,"3"":Sample Pack:2108-72","Pumpkin Cheesecake - 72 piece sample pack",31.50,"20603812021085","4.875","72 / 1 oz",".16",
,"3"":Sample Pack:2109-72","Very Berry Cheesecake - 72 piece sample pack",31.50,"20603812021092","4.875","72 / 1 oz",".16",
,"3"":Sample Pack:2112-72","Key Lime Cheesecake - 72 piece sample pack",31.50,"20603812021122","4.875","72 / 1 oz",".16",
,"3"":Sample Pack:2117-72","Chocolate Truffle Cheesecake - 72 piece sample pack",31.50,"20603812021177","4.875","72 / 1 oz",".16",
,"3"":Sample Pack:2118-72","EggNog Cheesecake - 72 piece sample pack",31.50,"20603812021184","4.875","72 / 1 oz",".16",
,"3"":Sample Pack:2121-72","Strawberry Cheesecake - 72 piece sample pack",31.50,"20603812021214","4.875","72 / 1 oz",".16",
,"3"":Sample Pack:2130-72","""No Sugar Added"" New York Cheesecake - 72 piece sample pack",17.00,"20603812021306","4.875","72 / 1 oz",".16",
,"3"":Sample Pack:2133-72","Coconut Cheesecake - 72 piece sample pack",31.50,"20603812021337","4.875","72 / 1 oz",".16",
,"3"":Sample Pack:2134-72","Peppermint Swirl Cheesecake - 72 piece sample pack",17.00,"20603812021344","4.875","72 / 1 oz",".16",
,"3"":Sample Pack:2140-72","Hazelnut Mocha Cheesecake - 72 piece sample pack",31.50,"20603812021405","4.875","72 / 1 oz",".16",
,"3"":Sample Pack:2141-72","New York with Almond Roca Cheesecake - 72 piece sample pack",31.50,"20603812021412","4.875","72 / 1 oz",".16",
,"3"":Sample Pack:2142-72","Honey Lavender Cheesecake - 72 piece sample pack",31.50,"20603812021429","4.875","72 / 1 oz",".16",
