,"Item","Description","Price","UPC / GTIN","Gross Wt (lbs)","Pack/Unit","Case Cube","Unique Instructions"
,"7"":32 oz:27032-6","7"" ""No Sugar Added"" Tuxedo Cheesecake (6/cs)",39.12,"10603812270325","13.5","6 / 32 oz",".75",
,"7"":32 oz:27033-1","7"" Coconut Cheesecake",9.50,"603812270335",,"1 / 32 oz",,
,"7"":32 oz:27033-6","7"" Coconut Cheesecake (6/cs)",36.90,"10603812270332","13.5","6 / 32 oz",".75",
,"7"":32 oz:27034-1","7"" Peppermint Swirl Cheesecake",9.50,"603812270342",,"1 / 32 oz",,
,"7"":32 oz:27034-6","7"" Peppermint Swirl Cheesecake (6/cs)",36.90,"10603812270349","13.5","6 / 32 oz",".75",
,"7"":32 oz:27035-1","7"" Lemon Drop Cheesecake",9.50,"603812270359",,"1 / 32 oz",,
,"7"":32 oz:27035-6","7"" Lemon Drop Cheesecake (6/cs)",36.90,"10603812270356","13.5","6 / 32 oz",".75",
,"7"":32 oz:27036-1","7"" ""No Sugar Added"" Pumpkin Cheesecake",9.50,"603812270366",,"1 / 32 oz",,
,"7"":32 oz:27036-6","7"" ""No Sugar Added"" Pumpkin Cheesecake (6/cs)",39.12,"10603812270363","13.5","6 / 32 oz",".75",
,"7"":32 oz:27039-1","7"" Fabulous 4 Cheesecake Assortment",9.50,"603812270397",,"1 / 32 oz",,
,"7"":32 oz:27039-6","7"" Fabulous 4 Cheesecake Assortment (6/cs)",39.12,"10603812270394","13.5","6 / 32 oz",".75",
,"7"":32 oz:27040-1","7"" Hazelnut Mocha Cheesecake",9.50,"603812270403",,"1 / 32 oz",,
,"7"":32 oz:27040-6","7"" Hazelnut Mocha Cheesecake (6/cs)",36.90,"10603812270400","13.5","6 / 32 oz",".75",
,"7"":32 oz:27041-1","7"" New York with Almond Roca Cheesecake",9.50,"603812270410",,"1 / 32 oz",,
,"7"":32 oz:27041-6","7"" New York with Almond Roca Cheesecake (6/cs)",36.90,"10603812270417","13.5","6 / 32 oz",".75",
,"7"":32 oz:27042-1","7"" Honey Lavender Cheesecake",9.50,"603812270427",,"1 / 32 oz",,
,"7"":32 oz:27042-6","7"" Honey Lavender Cheesecake (6/cs)",36.90,"10603812270424","13.5","6 / 32 oz",".75",
,"7"":32 oz:27043-1","7"" Festive Four Cheesecake Assortment",9.50,"603812270434",,"1 / 32 oz",,
,"7"":32 oz:27043-6","7"" Festive Four Cheesecake Assortment (6/cs)",39.12,"10603812270431","13.5","6 / 32 oz",".75",
,"7"":32 oz:27044-1","7"" Caramel Apple Cheesecake",9.50,"603812270441",,"1 / 32 oz",,
,"7"":32 oz:27044-6","7"" Caramel Apple Cheesecake (6/cs)",36.90,"10603812270448","13.5","6 / 32 oz",".75",
,"7"":32 oz:27045-1","7"" Chocolate Necessities Cheesecake",7.00,"603812270458",,"1 / 32 oz",,
,"7"":32 oz:27045-6","7"" Chocolate Necessities Cheesecake (6/cs)",36.90,"10603812270455","13.5","6 / 32 oz",".75",
,"7"":32 oz:27046-1","7"" Fiesta Four Cheesecake Assortment",9.50,"603812270465",,"1 / 32 oz",,
,"7"":32 oz:27046-6","7"" Fiesta Four Cheesecake Assortment (6/cs)",39.12,"10603812270462","13.5","6 / 32 oz",".75",
,"7"":32 oz:27047-1","7"" Huckleberry Cheesecake",9.50,"603812270472",,"1 / 32 oz",,
,"7"":32 oz:27047-6","7"" Huckleberry Cheesecake (6/cs)",36.90,"10603812270479","13.5","6 / 32 oz",".75",
,"7"":32 oz:27048-1","7"" Seasonal Four Cheesecake Assortment (Sprouts)",9.50,"603812270489",,"1 / 32 oz",,
,"7"":32 oz:27048-6","7"" Seasonal Four Cheesecake Assortment (Sprouts) (6/cs)",39.12,"10603812270486","13.5","6 / 32 oz",".75",
,"7"":32 oz:27049-1","7"" Peanut Cheesecake",9.50,"603812270496",,"1 / 32 oz",,
,"7"":32 oz:27049-6","7"" Peanut Cheesecake (6/cs)",39.12,"10603812270493","13.5","6 / 32 oz",".75",
,"7"":32 oz:27051-1","7"" New York ""Classic"" Cheesecake",9.00,"603812270519",,"1 / 32 oz",,
,"7"":32 oz:27051-6","7"" New York ""Classic"" Cheesecake (6/cs)",36.90,"10603812270516","13.5","6 / 32 oz",".75",
,"7"":32 oz:27052-1","7"" ""Best of Western"" Cheesecake",9.00,"603812270526",,"1 / 32 oz",,
,"7"":32 oz:27052-6","7"" ""Best of Western"" Cheesecake (6/cs)",36.90,"10603812270523","13.5","6 / 32 oz",".75",
,"7"":32 oz:27053-1","7"" FIGI 4 Flavor Assortment Cheesecake (NY/LM/SB/CT)",9.00,"603812270533",,"1 / 32 oz",,
,"7"":32 oz - CDN",,0.00,,,,,
,"7"":32 oz - CDN:25039-1","7"" Fabulous 4 Cheesecake Assortment",9.50,"603812250399",,"1 / 907 g",,
,"7"":32 oz - CDN:25039-6","7"" Fabulous 4 Cheesecake Assortment (6/cs)",39.12,"10603812250396","13.5","6 / 907 g",".75",
,"7"":32 oz - CDN:25043-1","7"" Festive Four Holiday Cheesecake Assortment",9.50,"603812250436",,"1 / 907 g",,
,"7"":32 oz - CDN:25043-6","7"" Festive Four Holiday Cheesecake Assortment (6/cs)",39.12,"10603812250433","13.5","6 / 907 g",".75",
,"7"":32 oz - Customer Specific Pack",,0.00,,,,,
,"7"":32 oz NO LABEL",,0.00,,,,,
,"7"":32 oz NO LABEL:28001-1","7"" New York ""Signature"" Cheesecake (No Label)",9.00,"603812280013",,"1 / 32 oz",,
,"7"":32 oz NO LABEL:28001-6","7"" New York ""Signature"" Cheesecake (No Label)  (6/cs)",35.76,"10603812280010","13.5","6 / 32 oz",".75",
,"7"":32 oz NO LABEL:28008-1","7"" Pumpkin Cheesecake (No Label)",9.00,"603812280082",,"1 / 32 oz",,
,"7"":32 oz NO LABEL:28008-6","7"" Pumpkin Cheesecake (No Label) (6/cs)",35.76,"10603812280089","13.5","6 / 32 oz",".75",
,"7"":32 oz NO LABEL:28009-1","7"" Very Berry Cheesecake (No Label)",9.50,"603812280099",,"1 / 32 oz",,
,"7"":32 oz NO LABEL:28009-6","7"" Very Berry Cheesecake (No Label) (6/cs)",35.76,"10603812280096","13.5","6 / 32 oz",".75",
,"7"":32 oz NO LABEL:28017-1","7"" Chocolate Truffle Cheesecake (No Label)",9.50,"603812280174",,"1 / 32 oz",,
,"7"":32 oz NO LABEL:28017-6","7"" Chocolate Truffle Cheesecake (No Label)  (6/cs)",35.76,"10603812280171","13.5","6 / 32 oz",".75",
,"7"":32 oz NO LABEL:28030-1","7"" ""No Sugar Added"" New York Cheesecake (No Label)",9.50,"603812280303",,"1 / 32 oz",,
,"7"":32 oz NO LABEL:28030-6","7"" ""No Sugar Added"" New York Cheesecake (No Label) (6/cs)",37.76,"10603812280300","13.5","6 / 32 oz",".75",
,"7"":32 oz NO LABEL:28039-1","7"" Fabulous 4 Cheesecake Assortment (No Label)",9.50,"603812280396",,"1 / 32 oz",,
,"7"":32 oz NO LABEL:28039-6","7"" Fabulous 4 Cheesecake Assortment (No Label) (6/cs)",39.12,"10603812280393","13.5","6 / 32 oz",".75",
,"7"":32 oz NO LABEL:28043-1","7"" Festive Four Holiday Cheesecake Assortment (No Label)",9.50,"603812280433",,"1 / 32 oz",,
,"7"":32 oz NO LABEL:28043-6","7"" Festive Four Holiday Cheesecake Assortment (No Label) (6/cs)",39.12,"10603812280430","13.5","6 / 32 oz",".75",
,"7"":32 oz NO LABEL:28046-1","7"" Fiesta Four Cheesecake Assortment (No Label)",9.50,"603812280464",,"1 / 32 oz",,
,"7"":32 oz NO LABEL:28046-6","7"" Fiesta Four Cheesecake Assortment (No Label) (6/cs)",37.76,"10603812280461","13.5","6 / 32 oz",".75",
,"9""",,0.00,,,,,
,"9"":12 Slice",,0.00,,,,,
,"9"":12 Slice:91210-1","9"" Cajeta Cheesecake, 12 Slices",19.04,"00603812912105","5.1","1 / 80 oz",".16",
,"9"":12 Slice:91211-1","9"" Pumpkin Layered Cheesecake, 12 Slices",19.04,"00603812912112","5.1","1 / 80 oz",".16",
,"9"":12 Slice:91242-1","9"" Honey Lavender Cheesecake, 12 Slices",19.04,"00603812912426","5.1","1 / 80 oz",".16",
,"9"":12 Slice:91247-1","9"" Huckleberry Cheesecake, 12 Slices",19.04,"00603812912471","5.1","1 / 80 oz",".16",
,"9"":14 Slice",,0.00,,,,,
,"9"":14 Slice:1401-1","9"" New York ""Signature"" Cheesecake, 14 slices",19.04,"00603812014014","4.1","1 / 64 oz",".16",
,"9"":14 Slice:1417-1","9"" Chocolate Truffle Cheesecake, 14 Slices",19.04,"00603812014175","4.1","1 / 64 oz",".16",
,"9"":14 Slice:1451-1","9"" New York Cheesecake, Hi-Profile, 14 slice..",28.00,"00603812014519","5.1","1 / 80 oz",".16",
,"9"":14 slice new",,0.00,,,,,
,"9"":14 slice new:91401-1","9"" New York ""Signature"" Cheesecake, 14 slices",19.04,"00603812914017","4.1","1 / 64 oz",".16",
,"9"":14 slice new:91401-2","9"" New York ""Signature"" Cheesecake, 28 slices",19.04,"10603812914014","8.2","28 / 4.6 oz",".34",
,"9"":16 Slice",,0.00,,,,,
,"9"":16 Slice:1600","Blank",17.95,,"4.1","1 / 64 oz",".16",
,"9"":16 Slice:1601-1","9"" New York ""Signature"" Cheesecake, 16 Slices",19.04,"00603812016018","4.1","1 / 64 oz",".16",
,"9"":16 Slice:1603-1","9"" White Chocolate Cheesecake, 16 Slices",19.04,"00603812016032","4.1","1 / 64 oz",".16",
,"9"":16 Slice:1608-1","9"" Pumpkin Cheesecake, 16 Slices",19.04,"00603812016087","4.1","1 / 64 oz",".16",
,"9"":16 Slice:1609-1","9"" Very Berry Cheesecake, 16 Slices",19.04,"00603812016094","4.1","1 / 64 oz",".16",
,"9"":16 Slice:1610-1","9"" Cajeta Swirl Cheesecake, 16 Slices",19.04,"00603812016100","4.1","1 / 64 oz",".16",
,"9"":16 Slice:1612-1","9"" Key Lime Cheesecake, 16 Slices",19.04,"00603812016124","4.1","1 / 64 oz",".16",
,"9"":16 Slice:1617-1","9"" Chocolate Truffle Cheesecake, 16 Slices",19.04,"00603812016179","4.1","1 / 64 oz",".16",
,"9"":16 Slice:1618-1","9"" Egg Nog Cheesecake, 16 Slices",19.04,"00603812016186","4.1","1 / 64 oz",".16",
,"9"":16 Slice:1620-1","9"" Cheesecake Sampler,16 Slice",19.04,"00603812016209","4.1","1 / 64 oz",".16",
,"9"":16 Slice:1621-1","9"" Strawberry Cheesecake, 16 Slice",19.04,"00603812016216","4.1","1 / 64 oz",".16",
,"9"":16 Slice:1623-1","9"" Colombian Espresso Cheesecake, 16 Slices",19.04,"00603812016230","4.1","1 / 64 oz",".16",
,"9"":16 Slice:1625-1","9"" Cranberry Orange Walnut, 16 Slices",19.04,"00603812016254","4.1","1 / 64 oz",".16",
,"9"":16 Slice:1630-1","9"" ""No Sugar Added"" New York Cheesecake, 16 slices",20.26,"00603812016308","4.1","1 / 64 oz",".16",
,"9"":16 Slice:1633-1","9"" Coconut Cheesecake, 16 Slice",19.04,"00603812016339","4.1","1 / 64 oz",".16",
,"9"":16 Slice:1634-1","9"" Peppermint Swirl Cheesecake, 16 Slice",19.04,"00603812016346","4.1","1 / 64 oz",".16",
,"9"":16 Slice:1640-1","9"" Hazelnut Mocha Cheesecake, 16 Slice",19.04,"00603812016407","4.1","1 / 64 oz",".16",
,"9"":16 Slice:1641-1","9"" New York Almond Roca Cheesecake, 16 Slice",19.04,"00603812016414","4.1","1 / 64 oz",".16",
,"9"":16 Slice:1642-1","9"" Honey Lavender Cheesecake, 16 Slice",19.04,"00603812016421","4.1","1 / 64 oz",".16",
,"9"":16 Slice:1644-1","9"" Caramel Apple Cheesecake, 16 Slice",19.04,"00603812016445","4.1","1 / 64 oz",".16",
,"9"":16 Slice:1645-1","9"" Chocolate Necessities Cheesecake, 16 Slice",19.04,"00603812016452","4.1","1 / 64 oz",".16",
,"9"":16 Slice:1646-1","9"" Festive Selection Cheesecake, 16 Slice..(2 slices each of Pumpkin, Egg Nog, White Chocolate, ...",19.04,"00603812016469","4.1","1 / 64 oz",".16",
,"9"":16 Slice:1651-1","9"" New York ""Classic"" Cheesecake, 16 Slices",19.04,"00603812016513","4.1","1 / 64 oz",".16",
,"9"":16 Slice:1652-1","9"" Variety Cheesecake (NY/CT/HB/CS), 16 Slices",19.04,"00603812016520","4.1","1 / 64 oz",".16",
,"9"":16 slice New",,0.00,,,,,
,"9"":16 slice New:91601-1","9"" New York ""Signature"" Cheesecake, 16 Slices",19.04,"00603812916011","4.1","1 / 64 oz",".16",
,"9"":16 slice New:91601-2","9"" New York ""Signature"" Cheesecake, 32 Slices",19.04,"10603812916018","9","36 / 4 oz",".34",
,"9"":16 slice New:91602-1","9"" Gluten Free New York Cheesecake, 16 Slices",19.04,"00603812916028","4.1","1 / 64 oz",".16",
,"9"":16 slice New:91603-1","9"" White Chocolate Cheesecake, 16 Slices",19.04,"00603812916035","4.1","1 / 64 oz",".16",
,"9"":16 slice New:91603-2","9"" White Chocolate Cheesecake, 32 Slices",19.04,"10603812916032","9","36 / 4 oz",".34",
,"9"":16 slice New:91608-1","9"" Pumpkin Cheesecake, 16 Slices",19.04,"00603812916080","4.1","1 / 64 oz",".16",
,"9"":16 slice New:91608-2","9"" Pumpkin Cheesecake, 32 Slices",19.04,"10603812916087","9","36 / 4 oz",".34",
,"9"":16 slice New:91609-1","9"" Very Berry Cheesecake, 16 Slices",19.04,"00603812916097","4.1","1 / 64 oz",".16",
,"9"":16 slice New:91609-2","9"" Very Berry Cheesecake, 32 Slices",19.04,"10603812916094","9","36 / 4 oz",".34",
,"9"":16 slice New:91610-1","9"" Cajeta Swirl Cheesecake, 16 Slices",19.04,"00603812916103","4.1","1 / 64 oz",".16",
,"9"":16 slice New:91610-2","9"" Cajeta Swirl Cheesecake, 32 Slices",19.04,"10603812916100","9","36 / 4 oz",".34",
,"9"":16 slice New:91612-1","9"" Key Lime Cheesecake, 16 Slices",19.04,"00603812916127","4.1","1 / 64 oz",".16",
,"9"":16 slice New:91612-2","9"" Key Lime Cheesecake, 32 Slices",19.04,"10603812916124","9","36 / 4 oz",".34",
,"9"":16 slice New:91617-1","9"" Chocolate Truffle Cheesecake, 16 Slices",19.04,"0060381216172","4.1","1 / 64 oz",".16",
,"9"":16 slice New:91617-2","9"" Chocolate Truffle Cheesecake, 32 Slices",19.04,"10603812916179","9","36 / 4 oz",".34",
,"9"":16 slice New:91621-1","9"" Strawberry Cheesecake, 16 Slice",19.04,"00603812916219","4.1","1 / 64 oz",".16",
,"9"":16 slice New:91621-2","9"" Strawberry Cheesecake, 32 slices",19.04,"10603812916211","9","36 / 4 oz",".34",
,"9"":16 slice New:91652-1","9"" New York w/Sour Cream Layered Cheesecake, 16 Slices",19.04,"00603812916523","4.1","1 / 64 oz",".16",
,"9"":16 slice New:91652-2","9"" New York w/Sour Cream Layered Cheesecake, 32 Slices",19.04,"10603812916520","9","36 / 4 oz",".34",
,"Crust",,0.00,,,,,
,"Crust:20","Chocolate Crust",0.00,,,,,
,"Demand Organics",,0.00,,,,,
,"DSD",,0.00,,,,,
,"DSD:1/4 Sheet Bar",,0.00,,,,,
,"DSD:1/4 Sheet Bar:810-1","Trail Mix Bar (1/4 sheet)",14.64,"603812008105",,,,
,"DSD:1/4 Sheet Bar:810-2","Trail Mix Bar (1/4 sheet) (2/cs)",29.28,"10603812008102",,,,
,"DSD:1/4 Sheet Bar:811-1","Cinnamon Apple Bar (1/4 sheet)",1.00,"603812008112",,,,
,"DSD:1/4 Sheet Bar:811-2","Cinnamon Apple Bar (1/4 sheet)(2/cs)",19.44,"10603812008119",,,,
,"DSD:1/4 Sheet Bar:812-1","White Chocolate Cranberry Bar (1/4 sheet)",14.62,"603812008129",,,,
,"DSD:1/4 Sheet Bar:812-2","White Chocolate Cranberry Bar (1/4 sheet)(2/cs)",29.24,"10603812008126",,,,
,"DSD:1/4 Sheet Bar:813-1","Pumpkin Hazelnut Bar (1/4 sheet)",1.00,"603812008136",,,,
,"DSD:1/4 Sheet Bar:813-2","Pumpkin Hazelnut Bar (1/4 sheet)(2/cs)",26.89,"10603812008133",,,,
,"DSD:520-1","Crispy Rice Square",1.00,"603812005203",,"1 / 2.5 oz",,
,"DSD:520-6","Crispy Rice Square (6/cs)",6.00,"10603812005200","2","6 / 3.0 oz",".21",
,"DSD:521-1","Hazelnut Pumpkin Slice",1.25,"603812005210",,"1 / 3.5 oz",,
,"DSD:522-1","White Chocolate Cranberry Bar",1.25,"603812005227",,"1 / 4 oz",,
,"DSD:523-1","Cheesecake Brownie",1.25,"603812005234",,"1 / 4.0 oz",,
,"DSD:523-6","Cheesecake Brownie (6/cs)",7.50,"10603812005231","3","6 / 4.0 oz",,
,"DSD:524-1","Future",1.25,,,"1 / 4.0 oz",,
,"DSD:525-1","Future",1.25,,,"1 / 4.0 oz",,
,"DSD:526-1","Future",7.50,,,,,
,"DSD:527-1","Future",7.50,,,,,
,"DSD:530-5","Muffin and Scone Sampler",0.00,"603812005302",,"1 / 3.5 oz",,
,"DSD:Bagel",,0.00,,,,,
,"DSD:Bagel:710-4","White Bagels (4/bag)",2.00,"10603812007105",,"4 /",,
,"DSD:Bagel:711-4","Wheat Bagels (4/bag)",2.00,"10603812007112",,"4 /",,
,"DSD:Bagel:712-4","Sesame Bagels (4/bag)",2.00,"10603812007129",,"4 /",,
,"DSD:Bagel:713-4","Everything Bagels (4/bag)",2.00,"10603812007136",,"4 /",,
,"DSD:Bagel:714-4","Cinnamon Bagels (4/bag)",2.00,"10603812007143",,"4 /",,
,"DSD:Bagel:715-1","Future",2.00,,,"4 /",,
,"DSD:Bagel:716-1","Future",2.00,,,"4 /",,
,"DSD:Bagel:717-1","Future",2.00,,,"4 /",,
,"DSD:Cookie",,0.00,,,,,
,"DSD:Cookie:610-1","Trail Mix Cookie",1.00,"603812006101",".25","1 / 3 oz",,
,"DSD:Cookie:610-6","Trail Mix Cookie (6/cs)",6.00,"10603812006108","2","6 / 3 oz",".21",
,"DSD:Cookie:614-1","Chocolate Chip Cookie",1.00,"603812006149",".25","1 / 3 oz",,
,"DSD:Cookie:614-6","Chocolate Chip Cookie (6/cs)",6.00,"10603812006146","2","6 / 3 oz",".21",
,"DSD:Cookie:615-1","White Chocolate Macadamia Cookie",1.00,"603812006156",".25","1 / 3 oz",,
,"DSD:Cookie:615-6","White Chocolate Macadamia Cookie (6/cs)",6.00,"10603812006153","2","6 / 3 oz",".21",
,"DSD:Cookie:617-1","Peanut Butter Cookie",1.00,"603812006170",".25","1 / 3 oz",,
,"DSD:Cookie:617-6","Peanut Butter Cookie (6/cs)",6.00,"10603812006177","2","6 / 3 oz",".21",
,"DSD:Cookie:618-1","Oatmeal Raisin Cookie",1.00,"603812006187",".25","1 / 3 oz",,
,"DSD:Cookie:618-6","Oatmeal Raisin Cookie (6/cs)",6.00,"10603812006184","2","6 / 3 oz",".21",
,"DSD:Cookie:619-1","Future",1.00,,".25","1 / 3 oz",,
,"DSD:Cookie:620-1","Future",1.00,,".25","1 / 3 oz",,
,"DSD:Muffin",,0.00,,,,,
,"DSD:Muffin:Big Top",,0.00,,,,,
,"DSD:Muffin:Big Top:340-1","Banana Bonanza",1.25,"603812003407",".35","1 / 5.5 oz",,
,"DSD:Muffin:Big Top:340-6","Banana Bonanza Muffin (6/cs)",7.50,"10603812003404","3","6 / 5.5 oz",".21",
,"DSD:Muffin:Big Top:342-1","Lemon Poppy Sunshine",1.25,"603812003421",".35","1 / 5.5 oz",,
,"DSD:Muffin:Big Top:342-6","Lemon Poppy Sunshine Muffin (6/cs)",7.50,"10603812003428","3","6 / 5.5 oz",".21",
,"DSD:Muffin:Big Top:344-1","Raspberry Alarm",1.25,"603812003445",".35","1 / 5.5 oz",,
,"DSD:Muffin:Big Top:344-6","Raspberry Alarm Muffin (6/cs)",7.50,"10603812003442","3","6 / 5.5 oz",".21",
,"DSD:Muffin:Big Top:345-1","Blue Berry Buzz",1.25,"603812003452",".35","1 / 5.5 oz",,
,"DSD:Muffin:Big Top:345-6","Blue Berry Buzz Muffin (6/cs)",7.50,"10603812003459","3","6 / 5.5 oz",".21",
,"DSD:Muffin:Big Top:346-1","Double Chocolate Chip",1.25,"603812003469",".35","1 / 5.5 oz",,
,"DSD:Muffin:Big Top:346-6","Double Chocolate Chip Muffin (6/cs)",7.50,"10603812003466","3","6 / 5.5 oz",".21",
,"DSD:Muffin:Big Top:347-1","Apple Bran-tastic Muffin",1.25,"603812003476",".35","1 / 5.5 oz",,
,"DSD:Muffin:Big Top:348-1","Pumpkin Cheesecake Muffin",1.25,"603812003483",".35","1 / 5.5 oz",,
,"DSD:Muffin:Big Top:348-6","Pumpkin Cheesecake Muffin (6/cs)",7.50,"10603812003480","3","6 / 5.5 oz",".21",
,"DSD:Muffin:Big Top:349-1","Future",1.25,,,,,
,"DSD:Muffin:Big Top:350-6","Big Top Muffin Assortment (6/cs)",7.50,"10603812003503","3","6 / 5.5 oz",".21",
,"DSD:Muffin:Big Top:351-1","Future",1.25,,,,,
,"DSD:Muffin:Big Top:352-1","Future",1.25,,,,,
,"DSD:Muffin:Tulip",,0.00,,,,,
,"DSD:Muffin:Tulip:360-1","Banana Bonanza (Tulip)",1.00,"603812003605",".22","1 / 3.5 oz",,
,"DSD:Muffin:Tulip:360-20","Banana Bonanza (Tulip) (20/cs)",19.00,"10603812003602","4.75","20 / 3.5 oz",".45",
,"DSD:Muffin:Tulip:362-1","Lemon Poppy Sunshine (Tulip)",1.00,"603812003629","22","1 / 3.5 oz",,
,"DSD:Muffin:Tulip:362-20","Lemon Poppy Sunshine (Tulip) (20/cs)",19.00,"10603812003626","4.75","20 / 3.5 oz",".45",
,"DSD:Muffin:Tulip:364-1","Raspberry Alarm (Tulip)",1.00,"603812003643",".22","1 / 3.5 oz",,
,"DSD:Muffin:Tulip:364-20","Raspberry Alarm (Tulip) (20/cs)",19.00,"10603812003640","4.75","20 / 3.5 oz",".45",
,"DSD:Muffin:Tulip:365-1","Blue Berry Buzz (Tulip)",1.00,"603812003650",".22","1 / 3.5 oz",,
,"DSD:Muffin:Tulip:365-20","Blue Berry Buzz (Tulip) (20/cs)",19.00,"10603812003657","4.75","20 / 3.5 oz",".45",
,"DSD:Muffin:Tulip:366-1","Double Chocolate Chip (Tulip)",1.00,"603812003667",".22","1 / 3.5 oz",,
,"DSD:Muffin:Tulip:366-20","Double Chocolate Chip (Tulip) (20/cs)",19.00,"10603812003664","4.75","20 / 3.5 oz",".45",
,"DSD:Muffin:Tulip:367-1","Apple Bran-tastic (Tulip)",1.00,"603812003674",".22","1 / 3.5 oz",,
,"DSD:Muffin:Tulip:367-20","Apple Bran-tastic (Tulip) (20/cs)",19.00,"10603812003671","4.75","20 / 3.5 oz",".45",
,"DSD:Muffin:Tulip:368-1","Pumpkin Cheesecake (Tulip)",0.80,"603812003681",".22","1 / 3.5 oz",,
,"DSD:Muffin:Tulip:368-20","Pumpkin Cheesecake (Tulip) (20/cs)",19.00,"10603812003688","4.75","20 / 3.5 oz",".45",
,"DSD:Muffin:Tulip:369-1","Future",0.80,,,,,
,"DSD:Muffin:Tulip:370-1","Future",0.80,,,,,
,"DSD:Scone",,"",,,,,
,"DSD:Scone:401-1","Cinnamon Bun Scone",1.25,"603812004015",".22","1 / 3.5 oz",,
,"DSD:Scone:401-20","Cinnamon Bun Scone (20/cs)",14.80,"10603812004012","5.2","20 / 3.5 oz",".45",
,"DSD:Scone:403-1","Raspberry Rush Scone",1.25,"603812004039",".22","1 / 3.5 oz",,
,"DSD:Scone:403-20","Raspberry Rush Scone (20/cs)",14.80,"10603812004036","5.2","20 / 3.5 oz",".45",
,"DSD:Scone:403-6","Raspberry Rush Scone (6/case)",7.50,"20603812004033","3","6 / 3.5 oz",".21",
,"DSD:Scone:404-1","Blueberry Brunch Scone",1.25,"603812004046",".22","1 / 3.5 oz",,
,"DSD:Scone:404-20","Blueberry Brunch Scone (20/cs)",14.80,"10603812004043","5.2","20 / 3.5 oz",".45",
,"DSD:Scone:404-6","Blueberry Brunch Scone (6/case)",7.50,"20603812004040","3","6 / 3.5 oz",".21",
,"DSD:Scone:405-1","Future",1.25,,,,,
,"DSD:Scone:406-1","Future",1.25,,,,,
,"DSD:Scone:407-1","Future",1.25,,,,,
,"Fruitcake",,0.00,,,,,
,"Fruitcake:58010-1","Fruitcake Loaf - Haggen",101.05,"603812580106","1.1","1 / 17 oz",,
,"Fruitcake:58010-16","Fruitcake Loaf - Haggen",101.05,"10603812580103","17.5","16 / 17 oz",".91",
,"Fruitcake:58011-1","Fruitcake Loaf - Top Foods",101.05,"603812580113","1.1","1 / 17 oz",,
,"Fruitcake:58011-16","Fruitcake Loaf - Top Foods",101.05,"10603812580110","17.5","16 / 17 oz",".91",
,"Fruitcake:58012-1","Fruitcake Loaf",101.05,"603812580120","1.1","1 / 17 oz",,
,"Fruitcake:58012-16","Fruitcake Loaf",101.05,"10603812580127","17.5","16 / 17 oz",".91",
,"Fruitcake:58012-6","Holiday Fruitcake Loaf (6/cs)",101.05,"20603812580124","6.9","6 / 17 oz",".27",
,"Fruitcake:58020-1","Fruitcake Mini Loaf",101.05,"603812580205",".25","1 / 3 oz",,
,"Fruitcake:58020-12","Fruitcake Mini Loaf",23.28,"20603812580209","3.25","12 / 3 oz",".21",
,"Fruitcake:58020-40","Fruitcake Mini Loaf",101.05,"10603812580202","10.5","40 / 4 oz",".8",
,"Fruitcake:58021-1","Fruitcake Mini Loaf (no label)",101.05,"603812580212",".25","1 / 4 oz",,
,"Fruitcake:58021-12","Fruitcake Mini Loaf (no label)",22.08,"20603812580216","3.25","12 / 3 oz",".21",
,"Fruitcake:58030-1","Fruitcake Wreath",101.05,"603812580304","1.6","1 / 26 oz",,
,"Fruitcake:58030-6","Fruitcake Wreath",101.05,"10603812580301","10.5","6 / 26 oz",".75",
,"Fruitcake:58040-1","Fruitcake Wreath",101.05,"603812580403","1.25","1 / 19 oz",,
,"Fruitcake:58040-6","Fruitcake Wreath",30.66,"10603812580400","8.5","6 / 19 oz",".75",
,"Fruitcake:58041-1","Fruitcake Wreath (no label)",101.05,"603812580410","1.25","1 / 19 oz",,
,"Fruitcake:58041-6","Fruitcake Wreath (no label)",29.76,"10603812580417","8.5","6 / 19 oz",".75",
,"Heart",,0.00,,,,,
,"Heart:5001-1","5"" Heart New York Cheesecake",40.00,"603812050012",".6","1 / 9 oz",,
,"Heart:5001-16","5"" Heart New York Cheesecake",40.00,"20603812050016","9.5","16 / 9 oz",".33",
,"Heart:5001-6","5"" Heart New York Cheesecake, 6/cs",40.00,"10603812050019","4","6 / 9 oz",".16",
,"Heart:5006-6","5"" Heart New York Cheesecake, Retail 6 pack",40.00,"603812050067","4","6 / 9 oz",".16",
,"Heart:5017-1","5"" Heart Chocolate Truffle Cheesecake",40.00,"603812050173",".6","1 / 9 oz",,
,"Heart:5017-6","5"" Heart Chocolate Truffle Cheesecake, 6/cs",40.00,"10603812050173","4","6 / 9 oz",".16",
,"Heart:Bulk",,0.00,,,,,
,"Heart:Bulk:5047-6","5"" Heart Huckleberry Cheesecake, 6/cs",40.00,"10603812050477","4","6 / 9 oz",".16",
,"Heart:Retail",,0.00,,,,,
,"Heart:Retail:5201-1","5"" Heart New York Cheesecake",40.00,"603812052016",,"1 / 9 oz",,
,"Heart:Retail:5201-6","5"" Heart New York Cheesecake (6/cs)",40.00,"10603812052013","4.5","6 / 9 oz",".26",
,"Heart:Retail:5209-1","5"" Heart Very Berry Cheesecake",40.00,"603812052092",,"1 / 9 oz",,
,"Heart:Retail:5209-6","5"" Heart Very Berry Cheesecake (6/cs)",40.00,"10603812052099","4.5","6 / 9 oz",".26",
